Date,HomeTeam,AwayTeam,FTR,FTHG,FTAG,avg_GoalsScored_home,avg_GoalsConceded_home,avg_Shots_home,avg_ShotsOnTarget_home,avg_GoalsScored_away,avg_GoalsConceded_away,avg_Shots_away,avg_ShotsOnTarget_away
11/08/2023,Burnley,Man City,A,0,3,1.2,2.4,8.6,3.4,1.8,0.6,13.4,5.0
12/08/2023,Arsenal,Nott'm Forest,H,2,1,2.4,0.6,16.2,6.8,1.0,1.6,13.2,3.6
12/08/2023,Bournemouth,West Ham,D,1,1,1.8,1.4,19.8,6.8,1.4,3.2,13.0,4.2
12/08/2023,Brighton,Luton,H,4,1,1.2,1.2,14.8,4.8,0.8,2.0,10.4,3.4
12/08/2023,Everton,Fulham,A,0,1,1.2,1.2,12.0,4.4,2.4,1.6,13.0,5.4
12/08/2023,Sheffield United,Crystal Palace,A,0,1,1.4,1.4,9.4,3.8,1.6,2.0,13.6,3.8
12/08/2023,Newcastle,Aston Villa,H,5,1,1.4,2.4,10.6,4.6,0.8,1.4,16.6,5.0
13/08/2023,Brentford,Tottenham,D,2,2,1.2,1.0,11.0,4.6,2.2,1.6,14.0,6.0
13/08/2023,Chelsea,Liverpool,D,1,1,2.8,1.8,14.4,6.0,2.4,1.2,17.8,7.0
14/08/2023,Man United,Wolves,H,1,0,1.4,1.2,12.6,3.0,1.2,1.8,13.6,4.8
18/08/2023,Nott'm Forest,Sheffield United,H,2,1,1.4,1.6,15.6,5.8,0.4,2.4,7.2,2.0
19/08/2023,Fulham,Brentford,A,0,3,1.8,1.4,13.0,4.8,1.0,2.6,9.8,4.2
19/08/2023,Liverpool,Bournemouth,H,3,1,1.8,0.6,24.4,8.4,1.8,1.8,18.2,6.2
19/08/2023,Wolves,Brighton,A,1,4,0.6,2.0,12.8,4.2,1.8,1.4,13.8,4.8
19/08/2023,Tottenham,Man United,H,2,0,1.6,1.2,17.4,6.8,1.6,1.2,13.8,5.2
19/08/2023,Man City,Newcastle,H,1,0,2.2,1.0,23.0,9.2,2.4,1.4,17.2,6.4
20/08/2023,Aston Villa,Everton,H,4,0,1.6,1.8,12.8,4.0,0.8,2.0,10.2,3.0
20/08/2023,West Ham,Chelsea,H,3,1,1.2,1.8,9.0,3.4,1.4,0.6,13.4,6.0
21/08/2023,Crystal Palace,Arsenal,A,0,1,2.6,2.0,12.0,5.4,2.4,0.2,22.0,6.6
25/08/2023,Chelsea,Luton,H,3,0,0.8,2.6,12.2,3.8,1.2,2.4,13.4,3.8
26/08/2023,Bournemouth,Tottenham,A,0,2,1.6,1.4,17.4,6.4,2.2,0.6,15.2,6.2
26/08/2023,Arsenal,Fulham,D,2,2,2.6,0.8,17.2,6.0,0.6,1.6,13.6,4.6
26/08/2023,Brentford,Crystal Palace,D,1,1,2.2,1.8,15.8,6.4,1.4,0.6,13.8,5.4
26/08/2023,Everton,Wolves,A,0,1,1.4,1.2,12.8,4.8,0.8,0.6,10.6,3.6
26/08/2023,Man United,Nott'm Forest,H,3,2,1.6,1.4,16.4,6.8,1.6,2.8,13.6,4.8
26/08/2023,Brighton,West Ham,A,1,3,1.4,1.6,13.0,4.6,2.0,2.0,13.0,4.4
27/08/2023,Burnley,Aston Villa,A,1,3,0.8,1.6,9.0,2.8,2.2,1.6,13.0,5.2
27/08/2023,Sheffield United,Man City,A,1,2,0.8,4.0,13.4,3.6,2.0,0.4,12.4,5.4
27/08/2023,Newcastle,Liverpool,A,1,2,3.6,1.4,16.4,7.2,1.6,1.2,20.0,7.0
02/09/2023,Brentford,Bournemouth,D,2,2,1.5,1.5,16.0,5.0,1.0,0.5,10.0,5.0
02/09/2023,Burnley,Tottenham,A,2,5,1.0,1.0,13.0,6.0,1.3333333333333333,1.3333333333333333,15.333333333333334,4.333333333333333
02/09/2023,Chelsea,Nott'm Forest,A,0,1,2.0,1.0,16.5,5.5,1.3333333333333333,1.0,10.0,2.3333333333333335
02/09/2023,Brighton,Newcastle,H,3,1,0.0,1.5,18.5,6.5,2.0,1.6666666666666667,12.333333333333334,5.333333333333333
03/09/2023,Crystal Palace,Wolves,H,3,2,0.6666666666666666,2.6666666666666665,4.666666666666667,2.6666666666666665,1.25,2.5,10.5,3.75
03/09/2023,Liverpool,Aston Villa,H,3,0,2.5,1.0,28.0,8.5,3.0,2.0,11.333333333333334,7.0
03/09/2023,Arsenal,Man United,H,3,1,2.0,0.5,16.0,5.0,1.6666666666666667,2.3333333333333335,10.666666666666666,3.3333333333333335
16/09/2023,Wolves,Liverpool,A,1,3,1.0,1.8,16.2,5.2,1.6,1.2,16.8,6.0
16/09/2023,Aston Villa,Crystal Palace,H,3,1,1.8,1.8,14.8,4.8,1.6,1.4,14.2,4.8
16/09/2023,Fulham,Luton,H,1,0,1.4,0.8,13.2,5.6,1.4,3.0,9.0,3.6
16/09/2023,Man United,Brighton,A,1,3,1.6,1.4,12.6,3.4,1.6,1.2,17.0,6.4
16/09/2023,Tottenham,Sheffield United,H,2,1,1.2,1.8,14.0,5.6,0.8,1.2,9.0,1.6
16/09/2023,West Ham,Man City,A,1,3,1.4,2.4,15.2,4.4,3.4,1.4,20.0,9.4
16/09/2023,Newcastle,Brentford,H,1,0,2.6,1.8,15.2,7.2,1.4,1.6,11.2,4.8
17/09/2023,Bournemouth,Chelsea,D,0,0,2.2,1.6,17.8,7.4,2.4,0.6,12.2,6.4
17/09/2023,Everton,Arsenal,A,0,1,1.0,1.8,11.2,4.6,2.2,0.8,15.2,5.8
18/09/2023,Nott'm Forest,Burnley,D,1,1,1.4,1.2,16.8,5.6,0.8,2.0,12.6,3.6
23/09/2023,Crystal Palace,Fulham,D,0,0,1.2,2.6,14.4,4.0,1.2,2.6,11.6,4.4
23/09/2023,Luton,Wolves,D,1,1,1.4,3.4,13.6,4.0,0.6,1.8,10.6,4.2
23/09/2023,Man City,Nott'm Forest,H,2,0,1.6,0.6,21.6,7.6,1.4,1.8,13.0,4.8
23/09/2023,Brentford,Everton,A,1,3,2.8,0.8,15.6,6.8,0.8,1.8,9.2,2.6
23/09/2023,Burnley,Man United,A,0,1,1.2,2.4,12.0,3.2,1.2,0.8,14.8,5.0
24/09/2023,Arsenal,Tottenham,D,2,2,2.6,0.8,17.0,5.2,2.0,0.6,15.6,6.0
24/09/2023,Brighton,Bournemouth,H,3,1,1.4,1.0,14.6,5.6,1.2,1.6,14.6,5.4
24/09/2023,Chelsea,Aston Villa,A,0,1,1.0,2.2,13.0,4.4,3.2,1.0,14.0,5.6
24/09/2023,Liverpool,West Ham,H,3,1,2.0,1.0,21.0,7.2,2.0,2.4,11.6,4.2
24/09/2023,Sheffield United,Newcastle,A,0,8,1.4,2.6,13.2,5.8,1.0,1.6,8.4,2.8
30/09/2023,Aston Villa,Brighton,H,6,1,2.2,1.4,13.0,5.4,1.2,2.6,16.0,5.8
30/09/2023,Bournemouth,Arsenal,A,0,4,2.0,0.8,13.2,4.6,2.4,1.4,18.0,6.6
30/09/2023,Everton,Luton,A,1,2,0.8,1.0,12.6,2.8,2.0,1.8,10.6,4.4
30/09/2023,Man United,Crystal Palace,A,0,1,1.6,1.4,13.4,5.8,1.4,1.6,12.4,3.8
30/09/2023,Newcastle,Burnley,H,2,0,3.0,1.8,18.8,6.8,1.0,2.0,11.6,3.8
30/09/2023,West Ham,Sheffield United,H,2,0,2.0,1.6,10.2,4.0,1.4,3.6,8.0,3.2
30/09/2023,Wolves,Man City,H,2,1,2.0,1.8,11.6,5.0,2.2,0.6,20.2,7.6
30/09/2023,Tottenham,Liverpool,H,2,1,1.8,2.2,15.6,3.6,2.0,0.8,17.0,6.6
02/10/2023,Fulham,Chelsea,A,0,2,1.6666666666666667,2.6666666666666665,12.0,4.0,1.3333333333333333,1.0,18.0,4.333333333333333
03/10/2023,Luton,Burnley,A,1,2,1.6,2.6,10.8,4.0,2.0,2.0,16.0,5.4
07/10/2023,Luton,Tottenham,A,0,1,1.6,1.8,13.8,5.2,2.2,2.8,10.6,5.6
07/10/2023,Burnley,Chelsea,A,1,4,0.6,1.8,13.2,3.6,3.2,1.6,17.8,7.6
07/10/2023,Everton,Bournemouth,H,3,0,1.2,0.8,11.6,3.6,1.0,2.4,8.0,2.0
07/10/2023,Fulham,Sheffield United,H,3,1,1.6,1.2,14.0,4.2,1.2,2.2,10.6,3.4
07/10/2023,Man United,Brentford,H,2,1,1.6,2.2,15.0,5.2,1.6,2.0,9.6,3.0
07/10/2023,Crystal Palace,Nott'm Forest,D,0,0,1.8,1.4,10.8,4.4,1.4,2.0,9.0,4.0
08/10/2023,Brighton,Liverpool,D,2,2,1.2,1.6,13.6,5.6,2.4,1.2,24.2,8.6
08/10/2023,West Ham,Newcastle,D,2,2,1.2,2.6,13.8,3.2,2.0,1.6,15.2,5.4
08/10/2023,Wolves,Aston Villa,D,1,1,1.6,2.2,9.4,4.4,1.2,1.6,11.8,3.4
08/10/2023,Arsenal,Man City,H,1,0,3.2,0.8,20.8,7.2,3.6,1.2,17.2,9.0
21/10/2023,Liverpool,Everton,H,2,0,3.2,0.6,23.8,10.2,0.8,1.6,9.6,2.6
21/10/2023,Bournemouth,Wolves,A,1,2,0.6,2.4,14.6,4.2,0.6,2.4,10.2,4.2
21/10/2023,Brentford,Burnley,H,3,0,2.6,1.6,13.0,5.8,1.2,2.2,13.6,3.4
21/10/2023,Man City,Brighton,H,2,1,1.6,0.8,23.4,8.2,2.4,1.2,14.6,6.0
21/10/2023,Newcastle,Crystal Palace,H,4,0,2.0,1.0,14.4,5.0,2.2,1.8,13.8,5.4
21/10/2023,Nott'm Forest,Luton,D,2,2,1.4,1.6,12.4,4.0,1.0,3.2,12.4,3.6
21/10/2023,Chelsea,Arsenal,D,2,2,1.2,1.0,14.2,5.6,2.4,0.2,22.2,6.4
21/10/2023,Sheffield United,Man United,A,1,2,0.8,3.2,11.6,4.4,1.0,1.2,14.8,4.8
22/10/2023,Aston Villa,West Ham,H,4,1,2.0,1.6,12.6,4.6,2.2,2.2,9.6,3.6
23/10/2023,Tottenham,Fulham,H,2,0,1.6,1.2,18.4,6.8,1.2,2.0,12.4,4.6
27/10/2023,Crystal Palace,Tottenham,A,1,2,1.6,0.8,16.0,6.0,1.8,1.0,15.2,6.0
28/10/2023,Chelsea,Brentford,A,0,2,1.8,1.8,14.4,5.2,0.8,2.2,11.8,4.0
28/10/2023,Arsenal,Sheffield United,H,5,0,2.4,1.4,14.8,6.4,1.0,2.8,12.8,3.8
28/10/2023,Bournemouth,Burnley,H,2,1,2.0,1.2,15.4,5.6,0.6,2.2,9.4,2.8
28/10/2023,Wolves,Newcastle,D,2,2,2.0,1.0,11.6,4.0,3.8,1.4,19.6,8.4
29/10/2023,West Ham,Everton,A,0,1,2.6,1.2,11.4,4.6,0.8,1.4,16.0,4.4
29/10/2023,Aston Villa,Luton,H,3,1,2.0,1.4,13.0,5.2,1.4,1.6,11.2,3.8
29/10/2023,Brighton,Fulham,D,1,1,1.6,2.8,14.2,5.6,1.6,1.8,10.8,3.8
29/10/2023,Liverpool,Nott'm Forest,H,3,0,2.0,1.0,17.2,6.4,1.8,2.6,13.2,4.0
29/10/2023,Man United,Man City,A,0,3,2.8,1.4,18.4,8.6,2.4,0.6,18.8,6.8
04/11/2023,Fulham,Man United,A,0,1,1.2,2.6,11.0,4.4,1.6,2.2,10.4,2.8
04/11/2023,Brentford,West Ham,H,3,2,1.4,1.0,14.8,4.6,1.0,1.2,12.0,3.4
04/11/2023,Burnley,Crystal Palace,A,0,2,2.0,1.8,16.4,5.2,1.2,2.2,7.8,4.2
04/11/2023,Everton,Brighton,D,1,1,1.4,1.2,12.4,4.0,1.8,1.6,17.0,6.4
04/11/2023,Man City,Bournemouth,H,6,1,4.0,1.4,19.4,8.0,1.4,1.6,10.6,3.8
04/11/2023,Sheffield United,Wolves,H,2,1,0.4,4.4,9.0,3.2,1.8,2.6,8.4,3.4
04/11/2023,Newcastle,Arsenal,H,1,0,2.2,1.8,18.2,5.8,3.4,0.4,18.4,7.0
05/11/2023,Nott'm Forest,Aston Villa,H,2,0,1.6,0.8,11.8,3.8,1.6,2.0,8.8,4.0
05/11/2023,Luton,Liverpool,D,1,1,1.4,2.4,11.8,3.6,3.0,1.8,21.4,7.8
06/11/2023,Tottenham,Chelsea,A,1,4,2.4,2.6,13.4,5.8,3.2,1.8,17.4,7.8
11/11/2023,Wolves,Tottenham,H,2,1,1.0,1.6,11.2,4.4,2.6,1.0,18.4,7.8
11/11/2023,Arsenal,Burnley,H,3,1,2.4,0.4,17.2,6.4,1.0,2.2,7.8,3.0
11/11/2023,Crystal Palace,Everton,A,2,3,1.0,1.2,13.2,3.2,1.2,0.8,14.6,4.8
11/11/2023,Man United,Luton,H,1,0,1.6,1.4,16.4,5.8,0.8,2.0,9.6,2.4
11/11/2023,Bournemouth,Newcastle,H,2,0,1.4,2.0,18.2,5.6,1.8,2.4,11.0,4.2
12/11/2023,Aston Villa,Fulham,H,3,1,0.8,2.4,15.4,4.8,2.0,1.4,10.8,4.6
12/11/2023,Brighton,Sheffield United,D,1,1,1.6,1.0,17.4,6.6,1.2,1.0,10.0,3.6
12/11/2023,Liverpool,Brentford,H,3,0,2.0,1.4,20.0,5.8,1.2,1.2,10.0,4.4
12/11/2023,West Ham,Nott'm Forest,H,3,2,1.2,3.0,15.2,4.2,1.2,2.0,11.2,3.0
12/11/2023,Chelsea,Man City,D,4,4,2.6,1.6,12.6,5.4,2.4,0.4,16.0,6.4
25/11/2023,Man City,Liverpool,D,1,1,2.0,0.2,14.2,6.6,1.8,1.0,19.6,6.0
25/11/2023,Burnley,West Ham,A,1,2,1.2,1.6,8.6,3.2,1.6,2.8,11.4,3.8
25/11/2023,Luton,Crystal Palace,H,2,1,1.0,2.0,14.4,3.4,1.2,1.0,14.0,4.4
25/11/2023,Newcastle,Chelsea,H,4,1,2.6,1.4,11.4,5.6,1.2,2.0,12.6,4.6
25/11/2023,Nott'm Forest,Brighton,A,2,3,1.2,2.6,11.6,4.4,1.0,1.4,14.4,4.8
25/11/2023,Sheffield United,Bournemouth,A,1,3,0.8,3.2,9.6,3.4,1.2,1.6,14.2,5.0
25/11/2023,Brentford,Arsenal,A,0,1,2.4,1.4,14.6,5.6,2.8,1.2,16.8,5.8
26/11/2023,Tottenham,Aston Villa,A,1,2,2.0,0.6,15.0,5.6,2.6,1.0,14.4,5.6
26/11/2023,Everton,Man United,A,0,3,1.4,1.0,14.6,6.0,1.8,1.6,17.2,7.6
27/11/2023,Fulham,Wolves,H,3,2,1.0,1.8,12.2,3.6,1.2,0.6,13.2,3.8
02/12/2023,Brentford,Luton,H,3,1,1.6666666666666667,1.6666666666666667,17.666666666666668,5.666666666666667,1.5,2.5,14.5,3.0
02/12/2023,Burnley,Sheffield United,H,5,0,1.5,3.0,14.5,5.0,2.0,2.0,13.0,8.0
02/12/2023,Nott'm Forest,Everton,A,0,1,1.25,0.75,9.25,2.5,1.3333333333333333,2.0,16.0,6.666666666666667
02/12/2023,Newcastle,Man United,H,1,0,1.75,2.0,11.5,4.5,4.0,3.0,21.0,8.0
03/12/2023,Bournemouth,Aston Villa,D,2,2,1.5,0.75,10.5,4.5,2.25,2.25,10.75,6.0
03/12/2023,Chelsea,Brighton,H,3,2,1.5,0.75,16.25,4.25,1.4,1.0,17.8,6.2
03/12/2023,Liverpool,Fulham,H,4,3,2.6666666666666665,0.6666666666666666,24.333333333333332,7.0,1.4,2.4,12.2,4.4
03/12/2023,West Ham,Crystal Palace,D,1,1,1.4,0.8,9.4,3.4,1.25,2.5,7.5,4.75
03/12/2023,Man City,Tottenham,D,3,3,4.0,1.0,19.666666666666668,8.0,2.2,1.6,15.0,5.8
05/12/2023,Wolves,Burnley,H,1,0,1.8,2.8,8.8,3.6,1.0,2.2,16.0,4.8
05/12/2023,Luton,Arsenal,A,3,4,1.4,2.0,12.0,4.4,3.0,0.6,18.6,6.4
06/12/2023,Brighton,Brentford,H,2,1,0.8,1.4,14.8,5.4,1.4,1.6,9.0,3.0
06/12/2023,Crystal Palace,Bournemouth,A,0,2,2.4,1.4,10.8,6.0,1.0,2.8,8.8,2.6
06/12/2023,Fulham,Nott'm Forest,H,5,0,1.0,1.6,14.2,4.4,1.4,0.6,9.6,3.6
06/12/2023,Sheffield United,Liverpool,A,0,2,0.8,3.6,10.0,3.0,2.6,2.0,22.8,8.2
06/12/2023,Aston Villa,Man City,H,1,0,1.0,2.2,9.2,2.6,4.2,1.6,20.4,9.4
06/12/2023,Man United,Chelsea,H,2,1,1.6,2.2,12.0,3.8,3.6,2.0,18.6,8.6
07/12/2023,Everton,Newcastle,H,3,0,1.6,0.8,14.2,4.6,2.2,1.0,17.0,5.6
07/12/2023,Tottenham,West Ham,A,1,2,2.0,2.4,11.8,5.2,1.0,2.6,13.4,2.8
09/12/2023,Crystal Palace,Liverpool,A,1,2,1.4,1.4,14.0,4.6,2.2,1.4,21.2,7.6
09/12/2023,Brighton,Burnley,D,1,1,1.2,1.4,12.8,4.4,0.4,2.4,12.4,3.4
09/12/2023,Man United,Bournemouth,A,0,3,1.6,1.6,16.0,6.4,1.2,2.6,13.4,4.4
09/12/2023,Sheffield United,Brentford,H,1,0,1.4,2.0,9.2,4.0,1.4,2.4,9.0,3.0
09/12/2023,Wolves,Nott'm Forest,D,1,1,1.2,1.2,9.4,4.0,1.2,1.8,10.6,3.8
09/12/2023,Aston Villa,Arsenal,H,1,0,1.0,1.4,13.2,3.6,2.0,1.0,17.2,5.0
10/12/2023,Everton,Chelsea,H,2,0,1.4,0.8,17.2,4.8,3.2,1.2,14.0,6.6
10/12/2023,Fulham,West Ham,H,5,0,2.4,1.0,15.6,5.6,1.6,2.2,12.4,3.6
10/12/2023,Luton,Man City,A,1,2,1.4,2.0,13.0,4.4,1.4,1.0,10.6,4.0
10/12/2023,Tottenham,Newcastle,H,4,1,2.2,0.8,16.0,5.8,1.4,1.4,10.2,3.6
15/12/2023,Nott'm Forest,Tottenham,A,0,2,1.4,2.2,12.6,4.8,1.0,2.4,12.2,4.2
16/12/2023,Chelsea,Sheffield United,H,2,0,2.8,1.2,14.2,6.4,0.4,1.4,9.0,2.0
16/12/2023,Man City,Crystal Palace,D,2,2,3.4,1.6,22.4,10.8,1.2,1.8,12.8,4.8
16/12/2023,Newcastle,Fulham,H,3,0,2.8,1.4,15.4,6.6,1.4,0.8,14.0,5.6
16/12/2023,Burnley,Everton,A,0,2,1.0,1.8,11.0,4.4,0.8,1.8,12.4,4.6
17/12/2023,Arsenal,Brighton,H,2,0,1.8,0.6,14.6,5.4,2.0,1.2,16.0,7.2
17/12/2023,Brentford,Aston Villa,A,1,2,1.2,1.8,11.0,4.8,1.6,0.6,13.6,4.0
17/12/2023,West Ham,Wolves,H,3,0,1.0,2.0,12.0,4.2,1.4,1.6,14.8,4.6
17/12/2023,Liverpool,Man United,D,0,0,2.2,1.4,15.8,5.6,1.8,1.8,12.6,3.8
21/12/2023,Crystal Palace,Brighton,D,1,1,2.0,2.4,15.2,5.2,2.0,1.4,13.6,5.0
22/12/2023,Aston Villa,Sheffield United,D,1,1,2.6,1.6,13.0,5.0,1.0,2.6,12.8,5.4
23/12/2023,West Ham,Man United,H,2,0,1.8,3.0,9.8,3.6,1.4,0.8,15.8,5.6
23/12/2023,Fulham,Burnley,A,0,2,1.0,2.0,11.4,4.4,1.2,1.6,12.8,4.0
23/12/2023,Luton,Newcastle,H,1,0,1.4,3.2,13.2,4.0,2.6,1.0,14.6,6.0
23/12/2023,Nott'm Forest,Bournemouth,A,2,3,1.2,2.0,12.2,4.6,0.8,2.8,13.4,4.2
23/12/2023,Tottenham,Everton,H,2,1,2.0,0.6,18.6,6.8,1.2,1.8,9.0,3.0
23/12/2023,Liverpool,Arsenal,D,1,1,3.2,0.6,21.8,8.6,3.0,0.4,19.8,6.2
24/12/2023,Wolves,Chelsea,H,2,1,0.6,1.0,10.2,4.0,1.0,2.4,12.2,4.0
26/12/2023,Newcastle,Nott'm Forest,A,1,3,2.6,1.6,12.2,5.2,1.6,3.0,11.6,4.0
26/12/2023,Bournemouth,Fulham,H,3,0,1.0,1.4,16.0,5.6,0.8,1.4,12.8,4.2
26/12/2023,Sheffield United,Luton,A,2,3,0.8,3.4,9.2,2.6,1.2,1.4,13.6,3.4
26/12/2023,Burnley,Liverpool,A,0,2,0.6,1.8,7.6,2.4,1.4,1.0,18.4,5.2
26/12/2023,Man United,Aston Villa,H,3,2,2.2,1.6,16.8,7.6,2.4,1.0,14.6,5.8
27/12/2023,Brentford,Wolves,A,1,4,0.8,2.0,11.4,3.6,1.6,1.0,12.2,4.2
27/12/2023,Chelsea,Crystal Palace,H,2,1,1.4,1.8,14.6,5.2,1.2,1.2,15.6,5.4
27/12/2023,Everton,Man City,A,1,3,0.8,1.0,15.8,4.6,2.0,0.4,16.4,6.0
28/12/2023,Brighton,Tottenham,H,4,2,1.4,2.6,13.8,4.6,1.8,1.6,14.4,4.4
28/12/2023,Arsenal,West Ham,A,0,2,2.6,1.2,13.8,6.4,2.4,1.8,12.4,4.8
30/12/2023,Luton,Chelsea,A,2,3,1.8,1.6,10.0,4.0,1.4,2.2,17.4,5.6
30/12/2023,Aston Villa,Burnley,H,3,2,3.0,1.2,15.0,6.4,1.0,2.0,11.4,4.2
30/12/2023,Crystal Palace,Brentford,H,3,1,1.4,1.4,11.2,3.4,1.0,1.4,14.8,3.8
30/12/2023,Man City,Sheffield United,H,2,0,2.2,0.8,21.6,8.2,1.2,3.0,8.2,2.6
30/12/2023,Wolves,Everton,H,3,0,2.0,1.8,9.6,4.2,0.8,1.4,13.6,3.6
30/12/2023,Nott'm Forest,Man United,H,2,1,1.0,1.8,11.8,3.4,1.0,1.6,15.4,5.8
31/12/2023,Fulham,Arsenal,H,2,1,1.6,1.4,16.0,5.6,2.2,0.6,16.6,5.8
31/12/2023,Tottenham,Bournemouth,H,3,1,2.2,2.2,18.6,4.4,2.0,1.2,12.6,4.2
12/01/2024,Burnley,Luton,D,1,1,1.0,2.6,8.2,3.4,0.8,2.0,9.2,2.8
13/01/2024,Chelsea,Fulham,H,1,0,2.6,2.2,14.2,6.2,2.0,1.6,8.0,4.4
13/01/2024,Newcastle,Man City,A,2,3,1.8,2.2,12.6,6.2,2.8,1.2,15.2,7.8
14/01/2024,Everton,Aston Villa,D,0,0,1.2,1.0,11.2,5.0,1.6,3.0,16.0,5.6
14/01/2024,Man United,Tottenham,D,2,2,1.0,1.4,14.8,3.2,1.8,2.0,15.8,6.2
20/01/2024,Arsenal,Crystal Palace,H,5,0,2.0,0.6,19.8,5.8,2.0,1.2,8.8,4.6
20/01/2024,Brentford,Nott'm Forest,H,3,2,1.4,2.2,11.4,4.8,1.6,0.8,15.4,5.6
21/01/2024,Sheffield United,West Ham,D,2,2,0.4,3.2,8.6,3.4,1.6,1.4,10.2,4.0
21/01/2024,Bournemouth,Liverpool,A,0,4,1.2,1.8,16.0,5.2,2.4,0.6,25.4,9.2
22/01/2024,Brighton,Wolves,D,0,0,2.2,1.2,16.0,6.0,0.6,2.4,11.8,4.2
30/01/2024,Nott'm Forest,Arsenal,A,1,2,1.4,2.4,13.0,3.6,2.2,1.2,17.2,6.8
30/01/2024,Fulham,Everton,D,0,0,1.4,1.8,9.4,3.8,0.6,1.4,14.8,4.0
30/01/2024,Luton,Brighton,H,4,0,1.4,2.2,9.4,3.0,1.8,2.2,16.4,6.4
30/01/2024,Crystal Palace,Sheffield United,H,3,2,1.0,1.6,14.2,5.0,1.0,3.6,10.8,3.0
30/01/2024,Aston Villa,Newcastle,A,1,3,2.4,1.6,13.4,5.0,2.6,1.8,17.8,6.4
31/01/2024,Man City,Burnley,H,3,1,2.2,0.6,19.2,7.2,1.2,2.4,10.0,3.8
31/01/2024,Tottenham,Brentford,H,3,2,2.0,2.0,16.8,3.6,1.0,1.8,14.2,4.4
31/01/2024,Liverpool,Chelsea,H,4,1,2.0,1.0,17.8,6.8,1.8,1.8,18.4,6.4
03/02/2024,Everton,Tottenham,D,2,2,1.25,1.5,15.0,5.75,2.25,1.5,16.5,5.75
03/02/2024,Brighton,Crystal Palace,H,4,1,1.0,1.3333333333333333,17.333333333333332,6.333333333333333,0.5,2.0,3.5,1.5
03/02/2024,Burnley,Fulham,D,2,2,2.6666666666666665,2.0,16.0,5.666666666666667,1.25,2.5,11.5,3.75
03/02/2024,Newcastle,Luton,D,4,4,1.6,1.6,13.6,4.4,1.3333333333333333,2.6666666666666665,12.0,2.3333333333333335
03/02/2024,Sheffield United,Aston Villa,A,0,5,1.0,3.5,9.5,5.5,3.0,2.0,12.0,8.0
04/02/2024,Bournemouth,Nott'm Forest,D,1,1,1.6,1.0,11.4,5.0,1.0,0.8,10.0,2.4
04/02/2024,Chelsea,Wolves,A,2,4,1.8,1.0,14.6,4.4,1.4,2.6,10.8,3.8
04/02/2024,Man United,West Ham,H,3,0,1.5,2.5,10.5,3.0,1.4,0.8,9.4,3.4
04/02/2024,Arsenal,Liverpool,H,3,1,2.3333333333333335,0.6666666666666666,16.333333333333332,5.0,3.0,1.25,24.75,8.25
